date,stock_id,Dealer_Hedging_Diff,Dealer_self,Foreign_Dealer_Self,Foreign_Diff,Trust_Diff,Dealer_Diff,stock_name,industry_category
2026-02-06,2330,-490483,-581398,0,-6574449,962315,0,台積電,半導體業
2026-02-06,2330,-490483,-581398,0,-6574449,962315,0,台積電,電子工業
2026-02-09,2330,43660,-37080,0,2919301,267241,0,台積電,半導體業
2026-02-09,2330,43660,-37080,0,2919301,267241,0,台積電,電子工業
2026-02-10,2330,-238429,-192920,0,12633987,240642,0,台積電,半導體業
2026-02-10,2330,-238429,-192920,0,12633987,240642,0,台積電,電子工業
2026-02-11,2330,310830,946926,0,-4941461,1140830,0,台積電,半導體業
2026-02-11,2330,310830,946926,0,-4941461,1140830,0,台積電,電子工業
2026-02-23,2330,1608829,299177,0,-17558676,2321667,0,台積電,半導體業
2026-02-23,2330,1608829,299177,0,-17558676,2321667,0,台積電,電子工業
2026-02-24,2330,823253,358400,0,6887295,1486119,0,台積電,半導體業
2026-02-24,2330,823253,358400,0,6887295,1486119,0,台積電,電子工業
2026-02-25,2330,775644,94500,0,-4192269,2743762,0,台積電,半導體業
2026-02-25,2330,775644,94500,0,-4192269,2743762,0,台積電,電子工業
2026-02-26,2330,1185340,79000,0,-18136994,1201636,0,台積電,半導體業
2026-02-26,2330,1185340,79000,0,-18136994,1201636,0,台積電,電子工業
2026-03-02,2330,410036,104000,0,-19538793,2623969,0,台積電,半導體業
2026-03-02,2330,410036,104000,0,-19538793,2623969,0,台積電,電子工業
2026-03-03,2330,1028781,-132099,0,-21195454,1278971,0,台積電,半導體業
2026-03-03,2330,1028781,-132099,0,-21195454,1278971,0,台積電,電子工業
2026-03-04,2330,1929428,-1130299,0,-27354411,1466715,0,台積電,半導體業
2026-03-04,2330,1929428,-1130299,0,-27354411,1466715,0,台積電,電子工業
2026-03-05,2330,783868,-666300,0,-9755524,1493516,0,台積電,半導體業
2026-03-05,2330,783868,-666300,0,-9755524,1493516,0,台積電,電子工業
2026-03-06,2330,672228,194200,0,-10927204,946000,0,台積電,半導體業
2026-03-06,2330,672228,194200,0,-10927204,946000,0,台積電,電子工業
2026-03-09,2330,801362,-2428318,0,-37836794,2661429,0,台積電,半導體業
2026-03-09,2330,801362,-2428318,0,-37836794,2661429,0,台積電,電子工業
2026-03-10,2330,-396613,136353,0,-968908,522459,0,台積電,半導體業
2026-03-10,2330,-396613,136353,0,-968908,522459,0,台積電,電子工業
2026-03-11,2330,359821,410000,0,5027306,-36400,0,台積電,半導體業
2026-03-11,2330,359821,410000,0,5027306,-36400,0,台積電,電子工業
2026-03-12,2330,311130,-54717,0,-19046122,282821,0,台積電,半導體業
2026-03-12,2330,311130,-54717,0,-19046122,282821,0,台積電,電子工業
2026-03-13,2330,-21971,-331300,0,-12743122,-133279,0,台積電,半導體業
2026-03-13,2330,-21971,-331300,0,-12743122,-133279,0,台積電,電子工業
2026-03-16,2330,715729,-55200,0,-16174225,-801831,0,台積電,半導體業
2026-03-16,2330,715729,-55200,0,-16174225,-801831,0,台積電,電子工業
2026-03-17,2330,683368,222001,0,-230432,-492057,0,台積電,半導體業
2026-03-17,2330,683368,222001,0,-230432,-492057,0,台積電,電子工業
2026-03-18,2330,441714,279585,0,373457,-144429,0,台積電,半導體業
2026-03-18,2330,441714,279585,0,373457,-144429,0,台積電,電子工業
2026-03-19,2330,438442,12612,0,-22789968,-99637,0,台積電,半導體業
2026-03-19,2330,438442,12612,0,-22789968,-99637,0,台積電,電子工業
2026-03-20,2330,234900,-271000,0,-6768881,-4028408,0,台積電,半導體業
2026-03-20,2330,234900,-271000,0,-6768881,-4028408,0,台積電,電子工業
2026-03-23,2330,1307026,-583000,0,-15305536,1860884,0,台積電,半導體業
2026-03-23,2330,1307026,-583000,0,-15305536,1860884,0,台積電,電子工業
2026-03-24,2330,145971,296151,0,-5178091,691001,0,台積電,半導體業
2026-03-24,2330,145971,296151,0,-5178091,691001,0,台積電,電子工業
2026-03-25,2330,380489,320000,0,978668,265301,0,台積電,半導體業
2026-03-25,2330,380489,320000,0,978668,265301,0,台積電,電子工業
2026-03-26,2330,-84869,227900,0,-5190747,547600,0,台積電,半導體業
2026-03-26,2330,-84869,227900,0,-5190747,547600,0,台積電,電子工業
2026-03-27,2330,515056,197000,0,-11135853,381460,0,台積電,半導體業
2026-03-27,2330,515056,197000,0,-11135853,381460,0,台積電,電子工業
